"nominal_return","annual_real_return","treatment","tax_paid"
0.064,0.0380487804878051,"Inflation indexation",173850.451741998
0.064,0.0380487804878051,"Full nominal gain taxed",257875.815000905
0.065,0.0390243902439025,"50% discount",131570.619790404
0.065,0.0390243902439025,"Inflation indexation",179115.876321901
0.065,0.0390243902439025,"Full nominal gain taxed",263141.239580808
0.066,0.0400000000000003,"50% discount",134225.674613844
0.066,0.0400000000000003,"Inflation indexation",184425.985968782
0.066,0.0400000000000003,"Full nominal gain taxed",268451.349227689
0.067,0.0409756097560976,"50% discount",136903.240354432
0.067,0.0409756097560976,"Inflation indexation",189781.117449957
0.067,0.0409756097560976,"Full nominal gain taxed",273806.480708863
0.068,0.0419512195121954,"50% discount",139603.486505172
0.068,0.0419512195121954,"Inflation indexation",195181.609751436
0.068,0.0419512195121954,"Full nominal gain taxed",279206.973010343
0.069,0.0429268292682927,"50% discount",142326.583674672
0.069,0.0429268292682927,"Inflation indexation",200627.804090437
0.069,0.0429268292682927,"Full nominal gain taxed",284653.167349343
0.07,0.0439024390243905,"50% discount",145072.703593435
0.07,0.0439024390243905,"Inflation indexation",206120.043927963
0.07,0.0439024390243905,"Full nominal gain taxed",290145.40718687
0.071,0.0448780487804878,"50% discount",147842.019120171
0.071,0.0448780487804878,"Inflation indexation",211658.674981436
0.071,0.0448780487804878,"Full nominal gain taxed",295684.038240343
0.072,0.0458536585365856,"50% discount",150634.704248151
0.072,0.0458536585365856,"Inflation indexation",217244.045237395
0.072,0.0458536585365856,"Full nominal gain taxed",301269.408496302
0.073,0.046829268292683,"50% discount",153450.934111574
0.073,0.046829268292683,"Inflation indexation",222876.504964242
0.073,0.046829268292683,"Full nominal gain taxed",306901.868223149
0.074,0.0478048780487808,"50% discount",156290.884991987
0.074,0.0478048780487808,"Inflation indexation",228556.406725066
0.074,0.0478048780487808,"Full nominal gain taxed",312581.769983973
0.075,0.0487804878048781,"50% discount",159154.734324707
0.075,0.0487804878048781,"Inflation indexation",234284.105390506
0.075,0.0487804878048781,"Full nominal gain taxed",318309.468649413
0.076,0.0497560975609759,"50% discount",162042.660705301
0.076,0.0497560975609759,"Inflation indexation",240059.958151694
0.076,0.0497560975609759,"Full nominal gain taxed",324085.321410601
0.077,0.0507317073170732,"50% discount",164954.843896073
0.077,0.0507317073170732,"Inflation indexation",245884.324533238
0.077,0.0507317073170732,"Full nominal gain taxed",329909.687792145
0.078,0.051707317073171,"50% discount",167891.464832598
0.078,0.051707317073171,"Inflation indexation",251757.566406289
0.078,0.051707317073171,"Full nominal gain taxed",335782.929665196
0.079,0.0526829268292683,"50% discount",170852.705630275
0.079,0.0526829268292683,"Inflation indexation",257680.048001643
0.079,0.0526829268292683,"Full nominal gain taxed",341705.41126055
0.08,0.0536585365853661,"50% discount",173838.749590918
0.08,0.0536585365853661,"Inflation indexation",263652.135922929
0.08,0.0536585365853661,"Full nominal gain taxed",347677.499181836
0.081,0.0546341463414635,"50% discount",176849.781209373
0.081,0.0546341463414635,"Inflation indexation",269674.199159839
0.081,0.0546341463414635,"Full nominal gain taxed",353699.562418746
0.082,0.0556097560975612,"50% discount",179885.986180169
0.082,0.0556097560975612,"Inflation indexation",275746.60910143
0.082,0.0556097560975612,"Full nominal gain taxed",359771.972360337
0.083,0.0565853658536586,"50% discount",182947.551404195
0.083,0.0565853658536586,"Inflation indexation",281869.739549482
0.083,0.0565853658536586,"Full nominal gain taxed",365895.102808389
0.084,0.0575609756097564,"50% discount",186034.664995417
0.084,0.0575609756097564,"Inflation indexation",288043.966731927
0.084,0.0575609756097564,"Full nominal gain taxed",372069.329990834
0.085,0.0585365853658537,"50% discount",189147.516287615
0.085,0.0585365853658537,"Inflation indexation",294269.669316323
0.085,0.0585365853658537,"Full nominal gain taxed",378295.03257523
0.086,0.0595121951219515,"50% discount",192286.295841161
0.086,0.0595121951219515,"Inflation indexation",300547.228423414
0.086,0.0595121951219515,"Full nominal gain taxed",384572.591682321
0.087,0.0604878048780488,"50% discount",195451.195449817
0.087,0.0604878048780488,"Inflation indexation",306877.027640728
0.087,0.0604878048780488,"Full nominal gain taxed",390902.390899635
0.088,0.0614634146341466,"50% discount",198642.408147583
0.088,0.0614634146341466,"Inflation indexation",313259.45303626
0.088,0.0614634146341466,"Full nominal gain taxed",397284.816295167
0.089,0.062439024390244,"50% discount",201860.128215552
0.089,0.062439024390244,"Inflation indexation",319694.893172197
0.089,0.062439024390244,"Full nominal gain taxed",403720.256431104
0.09,0.0634146341463417,"50% discount",205104.551188818
0.09,0.0634146341463417,"Inflation indexation",326183.739118729
0.09,0.0634146341463417,"Full nominal gain taxed",410209.102377636
0.091,0.0643902439024391,"50% discount",208375.873863403
0.091,0.0643902439024391,"Inflation indexation",332726.3844679
0.091,0.0643902439024391,"Full nominal gain taxed",416751.747726807
0.092,0.0653658536585369,"50% discount",211674.294303226
0.092,0.0653658536585369,"Inflation indexation",339323.225347546
0.092,0.0653658536585369,"Full nominal gain taxed",423348.588606452
0.093,0.0663414634146342,"50% discount",215000.01184709
