percentile,fy,percentile_label,fy_sort,base_etr,scenario,etr,etr_change_pp
0.034,FY2034_35,3.4000000000000004,2034,0,No policy change,0,0
0.034,FY2034_35,3.4000000000000004,2034,0,Indexed brackets,0,0
0.035,FY2034_35,3.5000000000000004,2034,0,Baseline,0,0
0.035,FY2034_35,3.5000000000000004,2034,0,High inflation,0,0
0.035,FY2034_35,3.5000000000000004,2034,0,No policy change,0,0
0.035,FY2034_35,3.5000000000000004,2034,0,Indexed brackets,0,0
0.036,FY2034_35,3.5999999999999996,2034,0,Baseline,0,0
0.036,FY2034_35,3.5999999999999996,2034,0,High inflation,0,0
0.036,FY2034_35,3.5999999999999996,2034,0,No policy change,0,0
0.036,FY2034_35,3.5999999999999996,2034,0,Indexed brackets,0,0
0.037,FY2034_35,3.6999999999999997,2034,0,Baseline,0,0
0.037,FY2034_35,3.6999999999999997,2034,0,High inflation,0,0
0.037,FY2034_35,3.6999999999999997,2034,0,No policy change,0,0
0.037,FY2034_35,3.6999999999999997,2034,0,Indexed brackets,0,0
0.038,FY2034_35,3.8,2034,0,Baseline,0,0
0.038,FY2034_35,3.8,2034,0,High inflation,0,0
0.038,FY2034_35,3.8,2034,0,No policy change,0,0
0.038,FY2034_35,3.8,2034,0,Indexed brackets,0,0
0.039,FY2034_35,3.9,2034,0,Baseline,0,0
0.039,FY2034_35,3.9,2034,0,High inflation,0,0
0.039,FY2034_35,3.9,2034,0,No policy change,0,0
0.039,FY2034_35,3.9,2034,0,Indexed brackets,0,0
0.04,FY2034_35,4,2034,0,Baseline,0,0
0.04,FY2034_35,4,2034,0,High inflation,0,0
0.04,FY2034_35,4,2034,0,No policy change,0,0
0.04,FY2034_35,4,2034,0,Indexed brackets,0,0
0.041,FY2034_35,4.1000000000000005,2034,0,Baseline,0,0
0.041,FY2034_35,4.1000000000000005,2034,0,High inflation,0,0
0.041,FY2034_35,4.1000000000000005,2034,0,No policy change,0,0
0.041,FY2034_35,4.1000000000000005,2034,0,Indexed brackets,0,0
0.042,FY2034_35,4.2,2034,0,Baseline,0,0
0.042,FY2034_35,4.2,2034,0,High inflation,0,0
0.042,FY2034_35,4.2,2034,0,No policy change,0,0
0.042,FY2034_35,4.2,2034,0,Indexed brackets,0,0
0.043,FY2034_35,4.3,2034,0,Baseline,0,0
0.043,FY2034_35,4.3,2034,0,High inflation,0,0
0.043,FY2034_35,4.3,2034,0,No policy change,0,0
0.043,FY2034_35,4.3,2034,0,Indexed brackets,0,0
0.044,FY2034_35,4.3999999999999995,2034,0,Baseline,0,0
0.044,FY2034_35,4.3999999999999995,2034,0,High inflation,0,0
0.044,FY2034_35,4.3999999999999995,2034,0,No policy change,0,0
0.044,FY2034_35,4.3999999999999995,2034,0,Indexed brackets,0,0
0.045,FY2034_35,4.5,2034,0,Baseline,0,0
0.045,FY2034_35,4.5,2034,0,High inflation,0,0
0.045,FY2034_35,4.5,2034,0,No policy change,0,0
0.045,FY2034_35,4.5,2034,0,Indexed brackets,0,0
0.046,FY2034_35,4.6,2034,0,Baseline,0,0
0.046,FY2034_35,4.6,2034,0,High inflation,0,0
0.046,FY2034_35,4.6,2034,0,No policy change,0,0
0.046,FY2034_35,4.6,2034,0,Indexed brackets,0,0
0.047,FY2034_35,4.7,2034,0,Baseline,0,0
0.047,FY2034_35,4.7,2034,0,High inflation,0,0
0.047,FY2034_35,4.7,2034,0,No policy change,0,0
0.047,FY2034_35,4.7,2034,0,Indexed brackets,0,0
0.048,FY2034_35,4.8,2034,0,Baseline,0,0
0.048,FY2034_35,4.8,2034,0,High inflation,0,0
0.048,FY2034_35,4.8,2034,0,No policy change,0,0
0.048,FY2034_35,4.8,2034,0,Indexed brackets,0,0
0.049,FY2034_35,4.9,2034,0,Baseline,0,0
0.049,FY2034_35,4.9,2034,0,High inflation,0,0
0.049,FY2034_35,4.9,2034,0,No policy change,0,0
0.049,FY2034_35,4.9,2034,0,Indexed brackets,0,0
0.05,FY2034_35,5,2034,0,Baseline,0,0
0.05,FY2034_35,5,2034,0,High inflation,0,0
0.05,FY2034_35,5,2034,0,No policy change,0,0
0.05,FY2034_35,5,2034,0,Indexed brackets,0,0
0.051,FY2034_35,5.1,2034,0,Baseline,0,0
0.051,FY2034_35,5.1,2034,0,High inflation,0,0
0.051,FY2034_35,5.1,2034,0,No policy change,0,0
0.051,FY2034_35,5.1,2034,0,Indexed brackets,0,0
0.052,FY2034_35,5.2,2034,0,Baseline,0,0
0.052,FY2034_35,5.2,2034,0,High inflation,0,0
0.052,FY2034_35,5.2,2034,0,No policy change,0,0
0.052,FY2034_35,5.2,2034,0,Indexed brackets,0,0
0.053,FY2034_35,5.3,2034,0,Baseline,0,0
0.053,FY2034_35,5.3,2034,0,High inflation,0,0
0.053,FY2034_35,5.3,2034,0,No policy change,0,0
0.053,FY2034_35,5.3,2034,0,Indexed brackets,0,0
0.054,FY2034_35,5.4,2034,0,Baseline,0,0
0.054,FY2034_35,5.4,2034,0,High inflation,0,0
0.054,FY2034_35,5.4,2034,0,No policy change,0,0
0.054,FY2034_35,5.4,2034,0,Indexed brackets,0,0
0.055,FY2034_35,5.5,2034,0,Baseline,0,0
0.055,FY2034_35,5.5,2034,0,High inflation,0,0
0.055,FY2034_35,5.5,2034,0,No policy change,0,0
0.055,FY2034_35,5.5,2034,0,Indexed brackets,0,0
0.056,FY2034_35,5.6000000000000005,2034,0,Baseline,0,0
0.056,FY2034_35,5.6000000000000005,2034,0,High inflation,0,0
0.056,FY2034_35,5.6000000000000005,2034,0,No policy change,0,0
0.056,FY2034_35,5.6000000000000005,2034,0,Indexed brackets,0,0
0.057,FY2034_35,5.7,2034,0,Baseline,0,0
0.057,FY2034_35,5.7,2034,0,High inflation,0,0
0.057,FY2034_35,5.7,2034,0,No policy change,0,0
0.057,FY2034_35,5.7,2034,0,Indexed brackets,0,0
0.058,FY2034_35,5.800000000000001,2034,0,Baseline,0,0
0.058,FY2034_35,5.800000000000001,2034,0,High inflation,0,0
0.058,FY2034_35,5.800000000000001,2034,0,No policy change,0,0
0.058,FY2034_35,5.800000000000001,2034,0,Indexed brackets,0,0
0.059,FY2034_35,5.8999999999999995,2034,0,Baseline,0,0
0.059,FY2034_35,5.8999999999999995,2034,0,High inflation,0,0
0.059,FY2034_35,5.8999999999999995,2034,0,No policy change,0,0
