percentile,base_etr,final_baseline_etr,final_indexed_etr,percentile_label,after_tax_gain_baseline,after_tax_gain_indexed,income_gain_clawback
0.639,0.20986306961907,0.233804744022136,0.212890454016464,63.9,0.06289261030481819,0.08617715436602857,0.27019393054349056
0.64,0.210081683198324,0.233975835166213,0.213103058463845,64,0.06292074267329895,0.08615906865396983,0.26971421979966076
0.641,0.210308240037388,0.234153142856459,0.213323387831002,64.1,0.06294989722307642,0.08614032580291031,0.2692168663593606
0.642,0.210522166955644,0.234320566130523,0.213531434441789,64.2,0.06297742648686933,0.08612262781425606,0.26874704029357843
0.643,0.210707576613016,0.23446567125396,0.213711747658739,64.3,0.063001285996507,0.0861072890338972,0.2683396875762077
0.644,0.210919224354597,0.234631310801019,0.213917577741626,64.4,0.06302852196361575,0.08608977959955655,0.26787451127426964
0.645,0.211130053966969,0.234796310064601,0.214122612183597,64.5,0.063055652649469,0.08607233784833723,0.26741094495916357
0.646,0.211324941492189,0.234948832747639,0.214312142745888,64.60000000000001,0.06308073182199947,0.08605621497218019,0.26698226453032026
0.647,0.211539231150197,0.235116539908729,0.214520542125631,64.7,0.06310830776509213,0.08603848697438277,0.26651072113945823
0.648,0.211761254937776,0.235290299946687,0.214736463043373,64.8,0.06313687897747888,0.08602011913874441,0.26602195382171545
0.649,0.211985930588226,0.235466135382954,0.214954962931014,64.9,0.06316579144580936,0.08600153191678672,0.26552713611046774
0.65,0.212196914996823,0.235631255793005,0.215160147914254,65,0.06319294205167181,0.08598407735941105,0.2650622767337833
0.651,0.212412020198137,0.235799601213794,0.21536934042009,65.10000000000001,0.06322062294325304,0.0859662818924215,0.2645881437286361
0.652,0.212612199617834,0.235956265434075,0.215564017416124,65.2,0.06324638310516228,0.08594972122241784,0.2641467336293577
0.653,0.212830557405189,0.236127156390549,0.215776373102674,65.3,0.06327448255696766,0.08593165667180269,0.2636650449015453
0.654,0.213020107853197,0.236275502175476,0.215960713290447,65.4,0.06329887492576325,0.08591597532741968,0.26324673979972024
0.655,0.213238897737745,0.236446731299428,0.216173489196936,65.5,0.06332702998215567,0.08589787502977808,0.2627637184249065
0.656,0.213447098335003,0.236609673045792,0.216375966888739,65.60000000000001,0.06335382235223541,0.08588065077470208,0.26230388590746934
0.657,0.21366759598955,0.236782238703019,0.216590403622969,65.7,0.06338219717363525,0.08586240919472743,0.2618166929151649
0.658,0.213894051897742,0.236959467402846,0.216810634833588,65.8,0.06341133873508564,0.08584367469359067,0.26131611954607864
0.659,0.214120229215222,0.237136478072284,0.217030595111247,65.9,0.06344044444598873,0.08582496324002087,0.26081594385809254
0.66,0.214312745336808,0.237287144849745,0.217217819453766,66,0.06346521845357511,0.08580903654803151,0.2603900357504827
0.661,0.214533071621478,0.237459576389649,0.217432089528641,66.10000000000001,0.06349357122217791,0.08579080914533865,0.2599024084897821
0.662,0.214743695294974,0.237624414481551,0.217636923692472,66.2,0.06352067540671125,0.0857733844312647,0.2594360613388862
0.663,0.214937320052218,0.237775948898359,0.217825226197072,66.3,0.06354559207948285,0.08575736602280692,0.2590071847287954
0.664,0.215126878944496,0.237924301291932,0.218009574597003,66.4,0.06356998553493287,0.08574168397983717,0.25858715872804816
0.665,0.215347836435803,0.238097226826151,0.218224458528247,66.5,0.06359841953059464,0.08572340435796755,0.2580973655103853
0.666,0.215553890571385,0.238258488710792,0.218424848759152,66.60000000000001,0.06362493568246785,0.08570635767780677,0.25764042007652355
0.667,0.215743222483284,0.238406663465205,0.218608976417819,66.7,0.06364929992886392,0.08569069441272614,0.25722039755799664
0.668,0.215957630947577,0.238574463606352,0.218817491338164,66.8,0.06367689116058739,0.08567295658618757,0.2567445586341121
0.669,0.216159319649209,0.238732309019375,0.219013636129807,66.9,0.06370284554499428,0.08565627105459672,0.25629676892669634
0.67,0.216369401191531,0.238896722829113,0.219217943064274,67,0.06372987996517754,0.08563889119056367,0.25583015988184854
0.671,0.216574719062043,0.239057408498709,0.219417617268165,67.10000000000001,0.06375630137051214,0.08562190542097481,0.25537394832498383
0.672,0.216787024439381,0.239223562724016,0.21962408691007199,67.2,0.0637836219657193,0.08560434158099861,0.25490202029803133
0.673,0.216990692440374,0.239382957174355,0.219822156595166,67.30000000000001,0.06380983105698956,0.08558749230368501,0.2544491100337777
0.674,0.217203873954363,0.239549797080865,0.220029478290954,67.4,0.06383726439816251,0.0855698559816821,0.2539748528754317
0.675,0.217398195537613,0.239701876846955,0.220218458467582,67.5,0.06386227074224438,0.08555377992541391,0.25354238237141913
0.676,0.217607137035974,0.239865398436611,0.220421656695,67.60000000000001,0.06388915845545307,0.08553649437623034,0.2530771932920463
0.677,0.217801212841777,0.240017285852597,0.220610397849979,67.7,0.0639141331715749,0.08552043865291725,0.25264493285670625
0.678,0.218013594438017,0.240183499728266,0.220816941615724,67.80000000000001,0.06394146357503949,0.08550286850741728,0.25217171433853547
0.679,0.218202973057146,0.240331711036645,0.221001114697757,67.9,0.06396583383197285,0.0854872013782888,0.25174958589510843
0.68,0.21839416903416,0.240481344643862,0.221187055183124,68,0.063990437956270907,0.08547138390071662,0.25132324953809027
0.681,0.218607859048811,0.240648582512658,0.221394871402182,68.10000000000001,0.0640179367340391,0.08545370551089493,0.25084656831087176
0.682,0.218821901196665,0.240816095967596,0.221603030075197,68.2,0.06404548082619566,0.08543599798939727,0.25036890381799265
0.683,0.219016380963706,0.24096829953133,0.221792164087546,68.30000000000001,0.06407050752621513,0.08541990884672057,0.24993472375175788
0.684,0.219207635465835,0.241117978941414,0.221978161489321,68.4,0.06409511918184019,0.0854040865274166,0.24950758461348058
0.685,0.219427795248966,0.241290280174046,0.222192269639361,68.5,0.06412345052413326,0.08538587289925248,0.24901569373433624
0.686,0.219621184384595,0.241441630188899,0.222380342998986,68.60000000000001,0.06414833687584964,0.08536987398356621,0.2485834418802321
0.687,0.219838319127815,0.241611563967775,0.222591509259776,68.7,0.06417627893977473,0.08535191061433434,0.24809792214543916
0.688,0.220044765000054,0.241773132432972,0.222792280459492,68.8,0.06420284550242383,0.08533483152613996,0.24763611348131545
0.689,0.220274636635721,0.241953034346072,0.223015833507917,68.89999999999999,0.0642324266180141,0.0853158144448265,0.24712168504758253
0.69,0.220496205505105,0.242126438356399,0.223231312012009,69,0.06426093928908783,0.08529748424417682,0.24662562022191342
0.691,0.220697544771588,0.24228401029483,0.223427116973588,69.1,0.06428684870630452,0.0852808276210526,0.24617466200064717
0.692,0.220899269206339,0.242441883673271,0.223623296516139,69.19999999999999,0.06431280768904146,0.0852641391332899,0.24572266438409804
0.693,0.221107335899046,0.242604720623387,0.223825643984087,69.3,0.06433958282756513,0.08524692595602135,0.24525627046355025
0.694,0.221315718996188,0.24276780519763,0.224028299159316,69.39999999999999,0.06436639868270966,0.08522968660288788,0.2447889784857111
0.695,0.22152322574507,0.242930203925061,0.224230102074871,69.5,0.0643931017646574,0.08521251974928812,0.2443234638042099
0.696,0.221718077259065,0.243082698425029,0.224419597615795,69.6,0.064418176303071,0.08519639985230765,0.24388616872610536
0.697,0.221919789165346,0.243240561998451,0.22461576497425,69.69999999999999,0.06444413367357715,0.08517971240101652,0.24343330287168133
0.698,0.222118336848162,0.243395949190422,0.224808855085705,69.8,0.06446968385482776,0.08516328672319073,0.24298736773304822
0.699,0.222296867848856,0.243535670946345,0.224982478722774,69.89999999999999,0.06449265818201211,0.0851485170081393,0.24258624286025687
0.7,0.222502592910309,0.243696675291315,0.225182548924961,70,0.0645191319868611,0.08513149755199723,0.24212384555488828
0.701,0.222677414875288,0.24383349428536,0.225352565478284,70.1,0.06454162901542637,0.08511703468225751,0.2417307621634056
0.702,0.222882693004307,0.243994148852509,0.225552201033075,70.19999999999999,0.06456804530661087,0.08510005220044736,0.24126902819606685
0.703,0.223072206997025,0.244142466106832,0.225736505767621,70.3,0.06459243298414519,0.0850843738719792,0.24084258901248864
0.704,0.223273541710041,0.244300034481632,0.225932306300895,70.39999999999999,0.0646183418153986,0.08506771762556076,0.24038937896715848
0.705,0.223475178577207,0.244457839328016,0.226128400682871,70.5,0.06464428952946855,0.08505103638218903,0.2399353108528841
0.706,0.223688993817025,0.244625175200411,0.226336338684975,70.6,0.06467180442188081,0.08503334763259696,0.23945362352064672
0.707,0.223884959102069,0.24477854135878,0.226526917382212,70.7,0.0646970222863299,0.0850171355943018,0.2390119728914254
0.708,0.224071708210046,0.24492469476173,0.226708533231673,70.8,0.06472105416365914,0.08500168600235447,0.2385909361625318
0.709,0.224272270777708,0.245081658840895,0.226903582843908,70.89999999999999,0.06474686363110338,0.0849850936348513,0.23813858569955704
0.71,0.224451392998316,0.245221843296765,0.227077781449758,71,0.06476991403963872,0.08497027500868826,0.2377344426269544
0.711,0.224660909946413,0.245385815244326,0.227281539309259,71.1,0.06479687580480797,0.08495294185304836,0.2372615427857267
0.712,0.224861227728057,0.245542587749297,0.227476350864022,71.2,0.0648226537718759,0.08493636973648022,0.23680922585940783
0.713,0.22505960570673,0.245697842127578,0.227669275936069,71.3,0.06484818211468746,0.0849199580981318,0.2363611150190371
0.714,0.225256062858807,0.245851593230441,0.227860332980163,71.39999999999999,0.06487346327522447,0.08490370536810399,0.2359171723546983
