AGE_FY_START,YOB_group,p10,p25,median,p75,p90,total_tax,total_income,mean_income,mean_post_tax
28,"Early Millenials, 1981-1982",0,0.0437619962440401,0.103561616972091,0.150991339489334,0.175219055676349,2529535434.34,18692128559.5403,64959.6127177769,56168.8727200705
44,"Early Gen X, 1965-1966",0,0.0524442352135451,0.119133638665101,0.168134082849378,0.204013479297493,3943354528.3,23081508822.4135,89767.6570633485,74431.3244301934
53,"Late Boomers, 1956-1957",0,0.0489920754430273,0.112272303682285,0.164045678264618,0.195672742063743,3651139645.49,22642046213.7938,88478.6725248287,74211.05792916
35,"Late Gen X, 1974-1975",0,0.0467143779718363,0.117774773022154,0.16589517943873,0.197666984257483,3236390489.16,20396390641.6879,79648.8218154864,67010.5715522473
12,Zoomers: 1997-98,0,0,0,0,0.0130105834103374,1939859.56,29294353.2853707,9365.20245695996,8745.0427510776
16,"Late Millenials, 1990-1991 ",0,0,0,0,0.0283762942827122,64253991.54,2348689932.77099,11232.8062899154,10925.5061945507
25,"Early Millenials, 1981-1982",0,0.0527918963220254,0.105334822046644,0.138463830050725,0.156362464926219,3449016709.84,28057162599.1687,55829.1499006449,48966.1725691741
41,"Early Gen X, 1965-1966",0,0.0563612578912957,0.121511818511491,0.156856669459402,0.185861350760601,6767485348.37,41562542696.2888,84137.5972377365,70437.7627325612
26,"Early Millenials, 1981-1982",0,0.0506936570602895,0.10117605840127,0.139585787590276,0.159089044894711,3847756250.28,30822973205.9844,59576.9578207692,52139.7255234312
32,"Late Gen X, 1974-1975",0,0.0528764170971429,0.121632194914084,0.154179866605243,0.176092385889705,5223767433.15,35578187312.7897,72736.5024037995,62056.9652728671
33,"Late Gen X, 1974-1975",0,0.0535355461735828,0.11722947166865,0.155521447363404,0.182501407948302,5510413780.05,36862014683.8139,74911.8313657634,63713.4421461979
42,"Early Gen X, 1965-1966",0,0.0563838376501288,0.117407139725358,0.157911228247905,0.190799839895646,6989469342.3,42216165685.0467,84700.4931313473,70677.1565631725
51,"Late Boomers, 1956-1957",0.0045015345036731,0.0621248390363458,0.117830853322936,0.155688968458774,0.183564226198421,6900137969.61,42755381807.9693,85102.4420987487,71368.0637070521
50,"Late Boomers, 1956-1957",0.0121976941302554,0.0671807708298583,0.125521359364164,0.15589130641671,0.180987519674352,6972451072.77,42988757978.6601,85715.5691779126,71813.1528167722
17,"Late Millenials, 1990-1991 ",0,0,0,0.009988914157542,0.0526191875721634,156142610.88,4558120354.51464,15803.156923197,15261.8052277135
10,Zoomers: 1997-98,0,0,0,0,0.048931871606727,2228463.25,34406141.2989428,9478.27583992914,8864.37411816606
9,Zoomers: 1997-98,0,0,0,0,0.0620210585861942,1830283.19,28899810.9140552,9779.96985247215,9160.58467819127
24,"Early Millenials, 1981-1982",0,0.0469753878579942,0.10246821516139,0.134531641182989,0.152029996113122,1505510834.27,12818534595.9241,51970.9650835365,45867.0808668796
40,"Early Gen X, 1965-1966",0,0.0483671279891751,0.12083497568897,0.155178538351781,0.181166352025178,3224688396.11,20487263834.8699,83700.7445208112,70526.2756518822
31,"Late Gen X, 1974-1975",0,0.0473204091503062,0.122151941517967,0.15238965763781,0.169815832041372,2383742738.17,16903412408.6328,70506.6797166655,60563.7296362874
