year,male,agegp,permearnaltrankt,Npermearnaltranktp1,meanpermearnaltranktp1,Npermearnaltranktp3,meanpermearnaltranktp3,Npermearnaltranktp5,meanpermearnaltranktp5
2004,1,1,72.5,20491,68.95111,19405,63.78933,18743,61.28469
2004,1,1,75,20493,71.47221,19407,65.91151,18743,63.1657
2004,1,1,77.5,20492,74.09933,19407,68.04636,18743,65.20045
2004,1,1,80,20492,76.36989,19406,70.02782,18742,66.73215
2004,1,1,82.5,20492,78.77477,19407,72.01706,18743,68.75355
2004,1,1,85,20495,81.29074,19407,74.61461,18742,71.18226
2004,1,1,87.5,20492,84.04612,19406,77.03501,18743,73.47041
2004,1,1,90,20493,86.44422,19406,79.40793,18744,75.70856
2004,1,1,92.5,20494,89.25504,19407,82.06343,18741,78.52321
2004,1,1,95,20492,91.89326,19406,84.70885,18744,80.93109
2004,1,1,97.5,20484,94.77706,19399,87.6886,18735,83.95016
2004,1,1,99,12296,97.21738,11644,90.19973,11246,86.64462
2004,1,1,99.9,7377,98.86528,6987,91.95598,6747,88.60774
2004,1,1,100,824,99.90881,780,94.67836,753,88.45296
2004,1,2,2.5,26316,3.813159,25064,15.20297,24218,21.17764
2004,1,2,5,26322,6.533439,25071,17.19346,24224,22.15971
2004,1,2,7.5,26320,8.809258,25070,18.705,24224,23.21008
2004,1,2,10,26321,11.53416,25071,20.57919,24225,24.43091
2004,1,2,12.5,26322,14.0226,25069,21.91304,24222,25.38224
2004,1,2,15,26322,16.4822,25071,23.22949,24225,26.40997
2004,1,2,17.5,26322,18.78135,25069,24.04103,24224,26.78588
2004,1,2,20,26320,20.84616,25071,25.32389,24224,27.52802
2004,1,2,22.5,26322,23.16725,25068,26.65509,24224,28.92788
2004,1,2,25,26320,25.20913,25072,28.15314,24224,30.00928
2004,1,2,27.5,26323,27.44023,25069,30.05854,24222,31.81599
2004,1,2,30,26320,29.63634,25071,31.71432,24225,33.2196
2004,1,2,32.5,26322,31.87285,25069,33.23629,24224,34.38397
2004,1,2,35,26323,34.12321,25070,35.00418,24222,36.12475
2004,1,2,37.5,26321,36.34855,25071,36.8839,24224,37.67282
2004,1,2,40,26319,38.67007,25070,38.95617,24224,39.51115
2004,1,2,42.5,26322,41.08083,25071,40.84315,24223,41.1201
2004,1,2,45,26322,43.26311,25068,42.81125,24225,43.09282
2004,1,2,47.5,26321,45.67426,25073,44.86954,24224,44.72024
2004,1,2,50,26321,48.18032,25069,46.91828,24224,46.61892
2004,1,2,52.5,26321,50.50262,25067,49.12351,24224,48.6188
2004,1,2,55,26321,53.00464,25071,51.26156,24224,50.43505
2004,1,2,57.5,26322,55.35999,25069,53.15934,24225,52.07941
